cellid,sigl,acc,bearing,alt,rsrq,rssnr,ta,WindSpeed,WindGust,Precip
8792588,4,16.8,251.8,260.4,-11,16.4,3,12 ,30 ,0.0 
8792588,4,16.2,71.7,252.3,-13,17,3,12 ,30 ,0.0 
8792588,4,14.1,256.9,251.7,-13,18.2,3,12 ,30 ,0.0 
8792588,4,13.1,178.7,251.7,-11,14.8,3,12 ,30 ,0.0 
5122562,4,13.7,10,251.7,-10,21.2,-1,12 ,30 ,0.0 
5122562,4,12.6,170.9,251.7,-15,15.8,-1,12 ,30 ,0.0 
5122562,4,14.3,131.9,247.4,-15,18,-1,12 ,30 ,0.0 
5122562,4,16.4,40.5,247.4,-12,18.4,-1,12 ,30 ,0.0 
5122562,4,17.7,44.9,250.4,-12,20,-1,12 ,30 ,0.0 
5122562,4,19.5,113.7,247.4,-7,22.2,2,12 ,30 ,0.0 
5122562,4,17.3,77.5,251.7,-7,19.8,2,12 ,30 ,0.0 
5122562,4,17.9,19.8,251.7,-13,27,-1,12 ,30 ,0.0 
5122562,4,17.8,353.6,248.5,-13,17,-1,12 ,30 ,0.0 
5122562,4,14.4,7.7,249.4,-11,22.6,-1,12 ,30 ,0.0 
5122562,4,12.2,4.4,249.4,-11,14.4,2,12 ,30 ,0.0 
5122562,4,11.8,42.9,251,-11,20,2,12 ,30 ,0.0 
5122562,4,12.1,44.6,249.4,-11,19.4,-1,12 ,30 ,0.0 
5122562,4,12.2,64.2,249.6,-11,20.6,-1,12 ,30 ,0.0 
5122562,4,12.6,77.6,248.5,-11,16.6,-1,12 ,30 ,0.0 
5122562,4,13.3,67.6,248.5,-11,21.2,-1,12 ,30 ,0.0 
5122562,4,16.2,82,248.5,-8,18.4,-1,12 ,30 ,0.0 
5122562,4,12.7,59.5,248.5,-8,18.4,-1,12 ,30 ,0.0 
5122562,4,14.9,178.4,248.5,-11,18.4,-1,12 ,30 ,0.0 
5122562,4,14.2,130.6,248.5,-11,18.4,-1,12 ,30 ,0.0 
5122562,4,17.1,115.1,248.5,-12,27.2,-1,12 ,30 ,0.0 
5122562,4,18.3,77.1,249.6,-12,23,-1,12 ,30 ,0.0 
5122562,4,19.8,76.2,250.3,-14,16.4,3,12 ,30 ,0.0 
5122562,4,16.4,46.2,248.5,-14,21.6,3,12 ,30 ,0.0 
5122562,4,16.8,19.1,250.3,-12,17.4,-1,12 ,30 ,0.0 
5122562,4,22.2,89.7,248.8,-12,19,-1,12 ,30 ,0.0 
5122562,4,16.2,67,250.3,-10,18.6,-1,12 ,30 ,0.0 
5122562,4,18.2,33.8,250.3,-13,17,-1,12 ,30 ,0.0 
5122562,4,19.2,25.1,251.1,-13,18.4,-1,12 ,30 ,0.0 
5122562,4,16.1,30.9,250.3,-7,15.8,-1,12 ,30 ,0.0 
5122562,4,17.6,19.6,251.1,-7,19.2,-1,12 ,30 ,0.0 
5122562,4,18.3,24.9,251.1,-10,18,2,12 ,30 ,0.0 
5122562,4,17.4,41.6,254.7,-10,18,2,12 ,30 ,0.0 
5122562,4,15.7,40,251.1,-8,15.8,2,12 ,30 ,0.0 
5122562,4,15.1,40.4,251.1,-8,18.2,2,12 ,30 ,0.0 
5122562,4,13.8,3.8,255,-16,18,-1,12 ,30 ,0.0 
5122562,4,14,358.6,258.5,-16,18.2,-1,12 ,30 ,0.0 
5122562,4,13.5,2,258.7,-11,18.8,2,12 ,30 ,0.0 
5122562,4,14.4,357.7,257.9,-11,14,2,12 ,30 ,0.0 
5122562,4,14.8,358.6,257.9,-8,13,3,12 ,30 ,0.0 
