cellid,sigl,acc,bearing,alt,rsrq,rssnr,ta,WindSpeed,WindGust,Precip
8792588,4,15.7,0,0,-14,17.2,2,12 ,30 ,0.0 
8792588,4,17,104.4,267.1,-14,16.2,2,12 ,30 ,0.0 
5122562,4,12,102.1,251.7,-15,23.4,2,12 ,30 ,0.0 
5122562,4,10.9,198.6,251.7,-15,23.4,2,12 ,30 ,0.0 
5122562,4,14.8,0.1,254.8,-13,11,3,12 ,30 ,0.0 
5122562,4,9.3,53,255,-12,13.4,-1,12 ,30 ,0.0 
5122562,4,13.9,259.5,254.8,-13,10.6,-1,12 ,30 ,0.0 
5122562,4,12.7,270.2,254.8,-13,11,-1,12 ,30 ,0.0 
5122562,4,11.7,90,254.8,-10,8.2,-1,12 ,30 ,0.0 
5122562,4,11.4,216.1,254.7,-13,15,3,12 ,30 ,0.0 
5122562,4,11.1,267.7,254.7,-13,13.4,3,12 ,30 ,0.0 
5122562,4,13.9,273.5,255.5,-14,9.8,3,12 ,30 ,0.0 
5122562,4,16.2,140.2,254.7,-14,9.8,3,12 ,30 ,0.0 
5122562,4,9.6,136,257.2,-16,11.2,-1,12 ,30 ,0.0 
5122562,4,9.6,119,254.8,-13,12.4,-1,12 ,30 ,0.0 
5122562,2,10.4,180,255.2,-18,-6,6,12 ,30 ,0.0 
5122562,2,11.4,300.3,255.2,-19,-3.4,-1,12 ,30 ,0.0 
5122562,2,11.2,148.5,254.4,-20,-7.2,7,12 ,30 ,0.0 
9087500,4,31.7,264.9,239.8,-14,4.6,5,12 ,30 ,0.0 
8792588,4,15.7,0,0,-14,17.2,2,12 ,30 ,0.0 
8792588,4,17,104.4,267.1,-14,16.2,2,12 ,30 ,0.0 
5122562,4,12,102.1,251.7,-15,23.4,2,12 ,30 ,0.0 
5122562,4,10.9,198.6,251.7,-15,23.4,2,12 ,30 ,0.0 
5122562,4,14.8,0.1,254.8,-13,11,3,12 ,30 ,0.0 
5122562,4,9.3,53,255,-12,13.4,-1,12 ,30 ,0.0 
5122562,4,13.9,259.5,254.8,-13,10.6,-1,12 ,30 ,0.0 
5122562,4,12.7,270.2,254.8,-13,11,-1,12 ,30 ,0.0 
5122562,4,11.7,90,254.8,-10,8.2,-1,12 ,30 ,0.0 
5122562,4,11.4,216.1,254.7,-13,15,3,12 ,30 ,0.0 
5122562,4,11.1,267.7,254.7,-13,13.4,3,12 ,30 ,0.0 
5122562,4,13.9,273.5,255.5,-14,9.8,3,12 ,30 ,0.0 
5122562,4,16.2,140.2,254.7,-14,9.8,3,12 ,30 ,0.0 
5122562,4,9.6,136,257.2,-16,11.2,-1,12 ,30 ,0.0 
5122562,4,9.6,119,254.8,-13,12.4,-1,12 ,30 ,0.0 
5122562,2,10.4,180,255.2,-18,-6,6,12 ,30 ,0.0 
5122562,2,11.4,300.3,255.2,-19,-3.4,-1,12 ,30 ,0.0 
5122562,2,11.2,148.5,254.4,-20,-7.2,7,12 ,30 ,0.0 
9087500,4,31.7,264.9,239.8,-14,4.6,5,12 ,30 ,0.0 
10118668,2,17,90.2,246.7,-14,-0.4,7,12 ,30 ,0.0 
5125665,2,13.6,100.8,246.9,-9,-0.4,1,12 ,30 ,0.0 
5125645,3,572.5,0,249.9,-16,0.8,1,12 ,30 ,0.0 
5125645,3,20.3,106.9,249.9,-15,1.6,1,12 ,30 ,0.0 
5125645,3,12.3,153.6,250,-14,2.6,-1,12 ,30 ,0.0 
5125645,4,11,0.9,249.8,-12,8.4,-1,12 ,30 ,0.0 
5125645,4,12.6,28.9,249.9,-12,5,-1,12 ,30 ,0.0 
5125645,4,16.2,146.4,249.8,-12,9.4,1,12 ,30 ,0.0 
5125645,4,16.7,49,249.8,-14,14.2,-1,12 ,30 ,0.0 
