radiotype,radio,area,cellid,enbrnc,lcid,xarfcn,unit,band,fc,sigl,asu,signal,lat,lon,acc,speed,bearing,alt,rsrq,rssnr,ss,ta,timerange,Temperature,Dew Point,Humidity,Wind,WindSpeed,WindGust,Pressure,Precip,Condition
LTE,LTE,42243,8792588,34346,12,876,400,2,1957.6,4,46,-94,39.0615237,-94.5872068,15.7,0,0,0,-14,17.2,26,2,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,8792588,34346,12,876,400,2,1957.6,4,46,-94,39.0615235,-94.5872058,17,0,104.4,267.1,-14,16.2,26,2,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,8792588,34346,12,876,400,2,1957.6,4,47,-93,39.0615193,-94.5872366,16.8,0.2,251.8,260.4,-11,16.4,26,3,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,8792588,34346,12,876,400,2,1957.6,4,48,-92,39.0615202,-94.5872167,16.2,0.1,71.7,252.3,-13,17,27,3,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,8792588,34346,12,876,400,2,1957.6,4,48,-92,39.0615227,-94.5872159,14.1,0.1,256.9,251.7,-13,18.2,27,3,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,8792588,34346,12,876,400,2,1957.6,4,46,-94,39.0615142,-94.587215,13.1,0.1,178.7,251.7,-11,14.8,25,3,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,49,-91,39.0615181,-94.5872132,13.7,0.1,10,251.7,-10,21.2,26,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,50,-90,39.0615166,-94.5872078,12,0,102.1,251.7,-15,23.4,29,2,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,50,-90,39.0615164,-94.5872071,10.9,0,198.6,251.7,-15,23.4,29,2,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,43,-97,39.0615125,-94.5872077,12.6,0.1,170.9,251.7,-15,15.8,26,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
