sigl,cellid,enbrnc,lcid,xarfcn,unit,band,fc,asu,signal,lat,lon,acc,bearing,alt,rsrq,rssnr,ss,ta,Temperature,Dew Point,Humidity,WindSpeed,WindGust,Pressure,Precip
4,8792588,34346,12,876,400,2,1957.6,46,-94,39.0615237,-94.5872068,15.7,0,0,-14,17.2,26,2,80,73,79,12,30,28.78,0
4,8792588,34346,12,876,400,2,1957.6,46,-94,39.0615235,-94.5872058,17,104.4,267.1,-14,16.2,26,2,80,73,79,12,30,28.78,0
4,5122562,20010,2,66611,445,66,2127.5,50,-90,39.0615166,-94.5872078,12,102.1,251.7,-15,23.4,29,2,80,73,79,12,30,28.78,0
4,5122562,20010,2,66611,445,66,2127.5,50,-90,39.0615164,-94.5872071,10.9,198.6,251.7,-15,23.4,29,2,80,73,79,12,30,28.78,0
4,5122562,20010,2,66611,445,66,2127.5,47,-93,39.0635197,-94.5857244,14.8,0.1,254.8,-13,11,27,3,80,73,79,12,30,28.78,0
4,5122562,20010,2,66611,445,66,2127.5,50,-90,39.0635931,-94.5857479,9.3,53,255,-12,13.4,28,-1,80,73,79,12,30,28.78,0
4,5122562,20010,2,66611,445,66,2127.5,53,-87,39.0635824,-94.5857451,13.9,259.5,254.8,-13,10.6,30,-1,80,73,79,12,30,28.78,0
4,5122562,20010,2,66611,445,66,2127.5,53,-87,39.063586,-94.5857438,12.7,270.2,254.8,-13,11,30,-1,80,73,79,12,30,28.78,0
4,5122562,20010,2,66611,445,66,2127.5,49,-91,39.0635936,-94.585743,11.7,90,254.8,-10,8.2,26,-1,80,73,79,12,30,28.78,0
4,5122562,20010,2,66611,445,66,2127.5,46,-94,39.0635935,-94.585759,11.4,216.1,254.7,-13,15,26,3,80,73,79,12,30,28.78,0
4,5122562,20010,2,66611,445,66,2127.5,46,-94,39.0635913,-94.5857729,11.1,267.7,254.7,-13,13.4,26,3,80,73,79,12,30,28.78,0
4,5122562,20010,2,66611,445,66,2127.5,45,-95,39.0635645,-94.5858532,13.9,273.5,255.5,-14,9.8,26,3,80,73,79,12,30,28.78,0
4,5122562,20010,2,66611,445,66,2127.5,45,-95,39.0635637,-94.5858521,16.2,140.2,254.7,-14,9.8,26,3,80,73,79,12,30,28.78,0
4,5122562,20010,2,66611,445,66,2127.5,47,-93,39.0635627,-94.5858506,9.6,136,257.2,-16,11.2,28,-1,80,73,79,12,30,28.78,0
4,5122562,20010,2,66611,445,66,2127.5,52,-88,39.0635615,-94.5858477,9.6,119,254.8,-13,12.4,29,-1,80,73,79,12,30,28.78,0
2,5122562,20010,2,66611,445,66,2127.5,28,-112,39.0564069,-94.5861793,10.4,180,255.2,-18,-6,19,6,80,73,79,12,30,28.78,0
2,5122562,20010,2,66611,445,66,2127.5,29,-111,39.0564028,-94.5862211,11.4,300.3,255.2,-19,-3.4,21,-1,80,73,79,12,30,28.78,0
2,5122562,20010,2,66611,445,66,2127.5,28,-112,39.0564002,-94.5862128,11.2,148.5,254.4,-20,-7.2,20,7,80,73,79,12,30,28.78,0
4,9087500,35498,12,876,13,2,1957.6,46,-94,39.0491176,-94.5865565,31.7,264.9,239.8,-14,4.6,26,5,80,73,79,12,30,28.78,0
4,8792588,34346,12,876,400,2,1957.6,46,-94,39.0615237,-94.5872068,15.7,0,0,-14,17.2,26,2,80,73,79,12,30,28.78,0
4,8792588,34346,12,876,400,2,1957.6,46,-94,39.0615235,-94.5872058,17,104.4,267.1,-14,16.2,26,2,80,73,79,12,30,28.78,0
4,5122562,20010,2,66611,445,66,2127.5,50,-90,39.0615166,-94.5872078,12,102.1,251.7,-15,23.4,29,2,80,73,79,12,30,28.78,0
4,5122562,20010,2,66611,445,66,2127.5,50,-90,39.0615164,-94.5872071,10.9,198.6,251.7,-15,23.4,29,2,80,73,79,12,30,28.78,0
4,5122562,20010,2,66611,445,66,2127.5,47,-93,39.0635197,-94.5857244,14.8,0.1,254.8,-13,11,27,3,80,73,79,12,30,28.78,0
4,5122562,20010,2,66611,445,66,2127.5,50,-90,39.0635931,-94.5857479,9.3,53,255,-12,13.4,28,-1,80,73,79,12,30,28.78,0
4,5122562,20010,2,66611,445,66,2127.5,53,-87,39.0635824,-94.5857451,13.9,259.5,254.8,-13,10.6,30,-1,80,73,79,12,30,28.78,0
4,5122562,20010,2,66611,445,66,2127.5,53,-87,39.063586,-94.5857438,12.7,270.2,254.8,-13,11,30,-1,80,73,79,12,30,28.78,0
4,5122562,20010,2,66611,445,66,2127.5,49,-91,39.0635936,-94.585743,11.7,90,254.8,-10,8.2,26,-1,80,73,79,12,30,28.78,0
4,5122562,20010,2,66611,445,66,2127.5,46,-94,39.0635935,-94.585759,11.4,216.1,254.7,-13,15,26,3,80,73,79,12,30,28.78,0
4,5122562,20010,2,66611,445,66,2127.5,46,-94,39.0635913,-94.5857729,11.1,267.7,254.7,-13,13.4,26,3,80,73,79,12,30,28.78,0
4,5122562,20010,2,66611,445,66,2127.5,45,-95,39.0635645,-94.5858532,13.9,273.5,255.5,-14,9.8,26,3,80,73,79,12,30,28.78,0
4,5122562,20010,2,66611,445,66,2127.5,45,-95,39.0635637,-94.5858521,16.2,140.2,254.7,-14,9.8,26,3,80,73,79,12,30,28.78,0
4,5122562,20010,2,66611,445,66,2127.5,47,-93,39.0635627,-94.5858506,9.6,136,257.2,-16,11.2,28,-1,80,73,79,12,30,28.78,0
4,5122562,20010,2,66611,445,66,2127.5,52,-88,39.0635615,-94.5858477,9.6,119,254.8,-13,12.4,29,-1,80,73,79,12,30,28.78,0
