cellid,enbrnc,xarfcn,unit,band,fc,signal,lat,lon,speed,rsrq,ss,WindGust,Pressure,Precip
8792588,34346,876,400,2,1957.6,-93,39.0615193,-94.5872366,0.2,-11,26,30,28.78,0
8792588,34346,876,400,2,1957.6,-92,39.0615202,-94.5872167,0.1,-13,27,30,28.78,0
8792588,34346,876,400,2,1957.6,-92,39.0615227,-94.5872159,0.1,-13,27,30,28.78,0
8792588,34346,876,400,2,1957.6,-94,39.0615142,-94.587215,0.1,-11,25,30,28.78,0
5122562,20010,66611,445,66,2127.5,-91,39.0615181,-94.5872132,0.1,-10,26,30,28.78,0
5122562,20010,66611,445,66,2127.5,-97,39.0615125,-94.5872077,0.1,-15,26,30,28.78,0
5122562,20010,66611,445,66,2127.5,-97,39.0615026,-94.5871968,0.3,-15,26,30,28.78,0
5122562,20010,66611,445,66,2127.5,-80,39.0615113,-94.5871771,0.5,-12,31,30,28.78,0
5122562,20010,66611,445,66,2127.5,-80,39.0615214,-94.5871679,0.2,-12,31,30,28.78,0
5122562,20010,66611,445,66,2127.5,-87,39.0614796,-94.5870705,1.1,-7,27,30,28.78,0
5122562,20010,66611,445,66,2127.5,-87,39.0614814,-94.5870413,0.6,-7,27,30,28.78,0
5122562,20010,66611,445,66,2127.5,-85,39.0615368,-94.58706,0.8,-13,30,30,28.78,0
5122562,20010,66611,445,66,2127.5,-85,39.0616267,-94.5870902,1,-13,30,30,28.78,0
5122562,20010,66611,445,66,2127.5,-83,39.0617537,-94.5870677,1.7,-11,31,30,28.78,0
5122562,20010,66611,445,66,2127.5,-84,39.0618585,-94.5870277,1,-11,30,30,28.78,0
5122562,20010,66611,445,66,2127.5,-84,39.0619322,-94.5869978,1,-11,30,30,28.78,0
5122562,20010,66611,445,66,2127.5,-80,39.0619864,-94.5869493,1,-11,31,30,28.78,0
5122562,20010,66611,445,66,2127.5,-80,39.0620303,-94.5869001,1,-11,31,30,28.78,0
5122562,20010,66611,445,66,2127.5,-82,39.0620503,-94.5868279,1,-11,31,30,28.78,0
