cellid,enbrnc,xarfcn,unit,band,fc,signal,lat,lon,rsrq,ss,WindGust,Pressure,Precip
8792588,34346,876,400,2,1957.6,-94,39.0615237,-94.5872068,-14,26,30,28.78,0
8792588,34346,876,400,2,1957.6,-94,39.0615235,-94.5872058,-14,26,30,28.78,0
5122562,20010,66611,445,66,2127.5,-90,39.0615166,-94.5872078,-15,29,30,28.78,0
5122562,20010,66611,445,66,2127.5,-90,39.0615164,-94.5872071,-15,29,30,28.78,0
5122562,20010,66611,445,66,2127.5,-93,39.0635197,-94.5857244,-13,27,30,28.78,0
5122562,20010,66611,445,66,2127.5,-90,39.0635931,-94.5857479,-12,28,30,28.78,0
5122562,20010,66611,445,66,2127.5,-87,39.0635824,-94.5857451,-13,30,30,28.78,0
5122562,20010,66611,445,66,2127.5,-87,39.063586,-94.5857438,-13,30,30,28.78,0
5122562,20010,66611,445,66,2127.5,-91,39.0635936,-94.585743,-10,26,30,28.78,0
5122562,20010,66611,445,66,2127.5,-94,39.0635935,-94.585759,-13,26,30,28.78,0
5122562,20010,66611,445,66,2127.5,-94,39.0635913,-94.5857729,-13,26,30,28.78,0
5122562,20010,66611,445,66,2127.5,-95,39.0635645,-94.5858532,-14,26,30,28.78,0
5122562,20010,66611,445,66,2127.5,-95,39.0635637,-94.5858521,-14,26,30,28.78,0
5122562,20010,66611,445,66,2127.5,-93,39.0635627,-94.5858506,-16,28,30,28.78,0
5122562,20010,66611,445,66,2127.5,-88,39.0635615,-94.5858477,-13,29,30,28.78,0
5122562,20010,66611,445,66,2127.5,-112,39.0564069,-94.5861793,-18,19,30,28.78,0
5122562,20010,66611,445,66,2127.5,-111,39.0564028,-94.5862211,-19,21,30,28.78,0
5122562,20010,66611,445,66,2127.5,-112,39.0564002,-94.5862128,-20,20,30,28.78,0
9087500,35498,876,13,2,1957.6,-94,39.0491176,-94.5865565,-14,26,30,28.78,0
8792588,34346,876,400,2,1957.6,-94,39.0615237,-94.5872068,-14,26,30,28.78,0
8792588,34346,876,400,2,1957.6,-94,39.0615235,-94.5872058,-14,26,30,28.78,0
5122562,20010,66611,445,66,2127.5,-90,39.0615166,-94.5872078,-15,29,30,28.78,0
5122562,20010,66611,445,66,2127.5,-90,39.0615164,-94.5872071,-15,29,30,28.78,0
5122562,20010,66611,445,66,2127.5,-93,39.0635197,-94.5857244,-13,27,30,28.78,0
5122562,20010,66611,445,66,2127.5,-90,39.0635931,-94.5857479,-12,28,30,28.78,0
5122562,20010,66611,445,66,2127.5,-87,39.0635824,-94.5857451,-13,30,30,28.78,0
5122562,20010,66611,445,66,2127.5,-87,39.063586,-94.5857438,-13,30,30,28.78,0
5122562,20010,66611,445,66,2127.5,-91,39.0635936,-94.585743,-10,26,30,28.78,0
5122562,20010,66611,445,66,2127.5,-94,39.0635935,-94.585759,-13,26,30,28.78,0
5122562,20010,66611,445,66,2127.5,-94,39.0635913,-94.5857729,-13,26,30,28.78,0
5122562,20010,66611,445,66,2127.5,-95,39.0635645,-94.5858532,-14,26,30,28.78,0
5122562,20010,66611,445,66,2127.5,-95,39.0635637,-94.5858521,-14,26,30,28.78,0
5122562,20010,66611,445,66,2127.5,-93,39.0635627,-94.5858506,-16,28,30,28.78,0
5122562,20010,66611,445,66,2127.5,-88,39.0635615,-94.5858477,-13,29,30,28.78,0
5122562,20010,66611,445,66,2127.5,-112,39.0564069,-94.5861793,-18,19,30,28.78,0
5122562,20010,66611,445,66,2127.5,-111,39.0564028,-94.5862211,-19,21,30,28.78,0
5122562,20010,66611,445,66,2127.5,-112,39.0564002,-94.5862128,-20,20,30,28.78,0
9087500,35498,876,13,2,1957.6,-94,39.0491176,-94.5865565,-14,26,30,28.78,0
10118668,39526,876,52,2,1957.6,-113,39.0337078,-94.5768838,-14,17,30,28.78,0
5125665,20022,67011,170,66,2167.5,-114,39.0337354,-94.5764633,-9,11,30,28.78,0
5125645,20022,876,2,2,1957.6,-104,39.0336736,-94.5764557,-16,23,30,28.78,0
5125645,20022,876,2,2,1957.6,-106,39.0336707,-94.57641,-15,21,30,28.78,0
5125645,20022,876,2,2,1957.6,-102,39.0336853,-94.5763621,-14,24,30,28.78,0
5125645,20022,876,2,2,1957.6,-95,39.0337001,-94.5763432,-12,25,30,28.78,0
5125645,20022,876,2,2,1957.6,-94,39.0337321,-94.5762948,-12,25,30,28.78,0
5125645,20022,876,2,2,1957.6,-89,39.0337344,-94.576289,-12,28,30,28.78,0
5125645,20022,876,2,2,1957.6,-87,39.0337339,-94.5762905,-14,30,30,28.78,0
5125645,20022,876,2,2,1957.6,-86,39.0337399,-94.5762889,-12,28,30,28.78,0
5125645,20022,876,2,2,1957.6,-87,39.0337482,-94.5762742,-8,27,30,28.78,0
5125645,20022,876,2,2,1957.6,-87,39.033752,-94.5762699,-8,27,30,28.78,0
5125645,20022,876,2,2,1957.6,-87,39.0337241,-94.5762925,-8,27,30,28.78,0
5125645,20022,876,2,2,1957.6,-104,39.0336736,-94.5764557,-16,23,30,28.78,0
5125645,20022,876,2,2,1957.6,-106,39.0336707,-94.57641,-15,21,30,28.78,0
5125645,20022,876,2,2,1957.6,-102,39.0336853,-94.5763621,-14,24,30,28.78,0
5125645,20022,876,2,2,1957.6,-95,39.0337001,-94.5763432,-12,25,30,28.78,0
5125645,20022,876,2,2,1957.6,-94,39.0337321,-94.5762948,-12,25,30,28.78,0
5125645,20022,876,2,2,1957.6,-89,39.0337344,-94.576289,-12,28,30,28.78,0
5125645,20022,876,2,2,1957.6,-87,39.0337339,-94.5762905,-14,30,30,28.78,0
5125645,20022,876,2,2,1957.6,-86,39.0337399,-94.5762889,-12,28,30,28.78,0
5125645,20022,876,2,2,1957.6,-87,39.0337482,-94.5762742,-8,27,30,28.78,0
5125645,20022,876,2,2,1957.6,-87,39.033752,-94.5762699,-8,27,30,28.78,0
5125645,20022,876,2,2,1957.6,-87,39.0337241,-94.5762925,-8,27,30,28.78,0
5125645,20022,876,2,2,1957.6,-88,39.0337303,-94.5762915,-11,28,30,28.78,0
5125645,20022,876,2,2,1957.6,-87,39.0337296,-94.5762901,-9,27,30,28.78,0
5125645,20022,876,2,2,1957.6,-104,39.0336736,-94.5764557,-16,23,30,28.78,0
5125645,20022,876,2,2,1957.6,-106,39.0336707,-94.57641,-15,21,30,28.78,0
5125645,20022,876,2,2,1957.6,-102,39.0336853,-94.5763621,-14,24,30,28.78,0
5125645,20022,876,2,2,1957.6,-95,39.0337001,-94.5763432,-12,25,30,28.78,0
5125645,20022,876,2,2,1957.6,-94,39.0337321,-94.5762948,-12,25,30,28.78,0
5125645,20022,876,2,2,1957.6,-89,39.0337344,-94.576289,-12,28,30,28.78,0
5125645,20022,876,2,2,1957.6,-87,39.0337339,-94.5762905,-14,30,30,28.78,0
5125645,20022,876,2,2,1957.6,-86,39.0337399,-94.5762889,-12,28,30,28.78,0
5125645,20022,876,2,2,1957.6,-87,39.0337482,-94.5762742,-8,27,30,28.78,0
5125645,20022,876,2,2,1957.6,-87,39.033752,-94.5762699,-8,27,30,28.78,0
5125645,20022,876,2,2,1957.6,-87,39.0337241,-94.5762925,-8,27,30,28.78,0
5125645,20022,876,2,2,1957.6,-88,39.0337303,-94.5762915,-11,28,30,28.78,0
5125645,20022,876,2,2,1957.6,-87,39.0337296,-94.5762901,-9,27,30,28.78,0
5125645,20022,876,2,2,1957.6,-87,39.0337475,-94.5762852,-8,27,30,28.78,0
5125645,20022,876,2,2,1957.6,-87,39.033757,-94.5762855,-14,30,30,28.78,0
5125645,20022,876,2,2,1957.6,-87,39.0337294,-94.5762902,-9,27,30,28.78,0
5125645,20022,876,2,2,1957.6,-89,39.0337329,-94.5762904,-14,29,30,28.78,0
5125645,20022,876,2,2,1957.6,-89,39.0337282,-94.5762897,-11,27,30,28.78,0
5125645,20022,876,2,2,1957.6,-91,39.0337268,-94.5762903,-12,27,30,28.78,0
5125645,20022,876,2,2,1957.6,-88,39.0337236,-94.5762968,-12,29,30,28.78,0
5125645,20022,876,2,2,1957.6,-87,39.0337256,-94.5762974,-13,30,30,28.78,0
5125645,20022,876,2,2,1957.6,-89,39.0337251,-94.5762915,-11,27,30,28.78,0
5125645,20022,876,2,2,1957.6,-89,39.033724,-94.5762974,-11,27,30,28.78,0
5125645,20022,876,2,2,1957.6,-89,39.0337254,-94.5762973,-11,27,30,28.78,0
5125645,20022,876,2,2,1957.6,-88,39.0337288,-94.5762926,-16,31,30,28.78,0
5125645,20022,876,2,2,1957.6,-87,39.0337245,-94.5762972,-15,30,30,28.78,0
5125645,20022,876,2,2,1957.6,-87,39.0337166,-94.5762987,-14,30,30,28.78,0
5125645,20022,876,2,2,1957.6,-87,39.0337194,-94.5762956,-14,30,30,28.78,0
5125645,20022,876,2,2,1957.6,-88,39.0337218,-94.5762962,-14,30,30,28.78,0
5125645,20022,876,2,2,1957.6,-87,39.033719,-94.5762961,-12,29,30,28.78,0
5125645,20022,876,2,2,1957.6,-88,39.0337191,-94.5762953,-10,27,30,28.78,0
5125645,20022,876,2,2,1957.6,-88,39.0337508,-94.5762842,-14,30,0,28.79,0
5125645,20022,876,2,2,1957.6,-88,39.0337508,-94.5762842,-14,30,0,28.79,0
5125645,20022,876,2,2,1957.6,-92,39.0337279,-94.5762925,-10,25,0,28.79,0
5125645,20022,876,2,2,1957.6,-92,39.0337278,-94.5762929,-10,25,0,28.79,0
5125645,20022,876,2,2,1957.6,-88,39.0337508,-94.5762842,-14,30,0,28.79,0
5125645,20022,876,2,2,1957.6,-92,39.0337279,-94.5762925,-10,25,0,28.79,0
5125645,20022,876,2,2,1957.6,-92,39.0337278,-94.5762929,-10,25,0,28.79,0
5125645,20022,876,2,2,1957.6,-88,39.0337359,-94.5762845,-12,28,0,28.79,0
5125645,20022,876,2,2,1957.6,-88,39.0337349,-94.5762863,-12,28,0,28.79,0
5125645,20022,876,2,2,1957.6,-87,39.0337191,-94.5762955,-15,30,0,28.79,0
5125645,20022,876,2,2,1957.6,-87,39.0337174,-94.5762902,-10,28,0,28.79,0
5125645,20022,876,2,2,1957.6,-88,39.0337508,-94.5762842,-14,30,0,28.79,0
5125645,20022,876,2,2,1957.6,-92,39.0337279,-94.5762925,-10,25,0,28.79,0
5125645,20022,876,2,2,1957.6,-92,39.0337278,-94.5762929,-10,25,0,28.79,0
5125645,20022,876,2,2,1957.6,-88,39.0337359,-94.5762845,-12,28,0,28.79,0
5125645,20022,876,2,2,1957.6,-88,39.0337349,-94.5762863,-12,28,0,28.79,0
5125645,20022,876,2,2,1957.6,-87,39.0337191,-94.5762955,-15,30,0,28.79,0
5125645,20022,876,2,2,1957.6,-87,39.0337174,-94.5762902,-10,28,0,28.79,0
5125645,20022,876,2,2,1957.6,-88,39.0337352,-94.5762812,-13,29,0,28.79,0
5125645,20022,876,2,2,1957.6,-89,39.0337371,-94.5762872,-13,29,0,28.79,0
5125645,20022,876,2,2,1957.6,-87,39.0337432,-94.5762717,-14,30,0,28.79,0
5125645,20022,876,2,2,1957.6,-88,39.0337279,-94.5762901,-13,29,0,28.79,0
5125645,20022,876,2,2,1957.6,-88,39.0337278,-94.5762906,-13,29,0,28.79,0
5125645,20022,876,2,2,1957.6,-89,39.0337272,-94.5762917,-11,29,0,28.79,0
5125645,20022,876,2,2,1957.6,-86,39.0337345,-94.5762835,-13,30,0,28.79,0
5125645,20022,876,2,2,1957.6,-87,39.0337341,-94.5762839,-12,29,0,28.79,0
5125645,20022,876,2,2,1957.6,-87,39.033734,-94.5762841,-13,30,0,28.79,0
5125645,20022,876,2,2,1957.6,-87,39.0337339,-94.5762841,-13,30,0,28.79,0
5125645,20022,876,2,2,1957.6,-87,39.0337339,-94.5762841,-15,30,0,28.79,0
5125645,20022,876,2,2,1957.6,-87,39.0337339,-94.5762841,-15,30,0,28.79,0
5125645,20022,876,2,2,1957.6,-86,39.0337337,-94.5762843,-13,30,0,28.79,0
5125645,20022,876,2,2,1957.6,-89,39.0337336,-94.5762844,-14,29,0,28.79,0
5125645,20022,876,2,2,1957.6,-89,39.0337336,-94.5762843,-11,28,0,28.79,0
5125645,20022,876,2,2,1957.6,-89,39.0337342,-94.5762833,-11,28,0,28.79,0
5125645,20022,876,2,2,1957.6,-88,39.0337346,-94.5762826,-9,28,0,28.79,0
5125645,20022,876,2,2,1957.6,-88,39.0337347,-94.5762824,-9,28,0,28.79,0
5125645,20022,876,2,2,1957.6,-87,39.0337346,-94.5762826,-12,29,0,28.79,0
5125645,20022,876,2,2,1957.6,-88,39.0337347,-94.5762827,-14,30,0,28.79,0
5125645,20022,876,2,2,1957.6,-88,39.0337352,-94.5762823,-14,30,0,28.79,0
5125645,20022,876,2,2,1957.6,-87,39.0337352,-94.5762823,-13,29,0,28.79,0
5125645,20022,876,2,2,1957.6,-87,39.0337353,-94.5762819,-13,30,0,28.79,0
5125645,20022,876,2,2,1957.6,-87,39.0337355,-94.5762816,-14,30,0,28.79,0
5125645,20022,876,2,2,1957.6,-88,39.0337352,-94.5762818,-9,27,0,28.79,0
5125645,20022,876,2,2,1957.6,-88,39.0337352,-94.5762819,-13,29,0,28.79,0
5125645,20022,876,2,2,1957.6,-88,39.0337218,-94.5762944,-13,29,0,28.79,0
5125645,20022,876,2,2,1957.6,-86,39.0337219,-94.5762969,-10,29,0,28.79,0
5125645,20022,876,2,2,1957.6,-86,39.0337237,-94.576295,-10,29,0,28.79,0
5125645,20022,876,2,2,1957.6,-89,39.0337346,-94.5762859,-13,29,0,28.79,0
5125645,20022,876,2,2,1957.6,-87,39.033731,-94.5762882,-9,28,0,28.79,0
5125645,20022,876,2,2,1957.6,-88,39.0337508,-94.5762842,-14,30,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-92,39.0337279,-94.5762925,-10,25,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-92,39.0337278,-94.5762929,-10,25,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-88,39.0337359,-94.5762845,-12,28,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-88,39.0337349,-94.5762863,-12,28,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-87,39.0337191,-94.5762955,-15,30,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-87,39.0337174,-94.5762902,-10,28,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-88,39.0337352,-94.5762812,-13,29,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-89,39.0337371,-94.5762872,-13,29,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-87,39.0337432,-94.5762717,-14,30,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-88,39.0337279,-94.5762901,-13,29,0,28.83,0.3
5125645,20022,876,2,2,1957.6,-88,39.0337278,-94.5762906,-13,29,0,28.83,0.3
