cellid,xarfcn,fc,signal,lat,lon,acc,speed,alt,rsrq,rssnr,ss,ta
9844235,876,1957.6,-84,39.0468968,-94.5866752,8,10.3,244.8,-15,10,31,4
9844235,876,1957.6,-84,39.0475082,-94.5866142,9.6,12.9,244.8,-15,7.4,31,4
9087510,5035,731.5,-80,39.0494672,-94.5864646,8.6,3.5,240.8,-13,9.2,30,6
9087510,5035,731.5,-87,39.0495649,-94.5864427,7.3,0.4,243.2,-14,5.6,28,6
9087510,5035,731.5,-83,39.0495215,-94.5864306,9.6,0.2,242.6,-11,13.2,28,4
10108929,66611,2127.5,-97,39.049564,-94.586401,9.1,0.5,244,-16,-4,26,-1
10108929,66611,2127.5,-97,39.0497048,-94.5863825,9.1,4.3,243.2,-16,-5,26,-1
5120514,66611,2127.5,-98,39.0503598,-94.5863886,8.6,8.6,243.2,-14,0.8,26,6
5120514,66611,2127.5,-102,39.0513103,-94.5863425,7.5,11.9,243.2,-16,-0.2,23,5
5120514,66611,2127.5,-102,39.0518408,-94.5863279,7.5,11.6,243.2,-16,1,23,5
5120514,66611,2127.5,-93,39.0529251,-94.5862809,7.5,11.7,249,-7,19.6,23,4
5120514,66611,2127.5,-93,39.0534348,-94.5862563,7.5,11,249,-7,19.6,23,4
5120514,66611,2127.5,-93,39.053922,-94.5862326,9.6,9.5,249,-8,20,24,-1
5120514,66611,2127.5,-103,39.05469,-94.5862029,9.6,7.8,249,-17,3.2,23,-1
5120514,66611,2127.5,-103,39.0551393,-94.5862675,10.7,0.6,249,-17,8.8,23,-1
9087500,876,1957.6,-99,39.0551241,-94.5862823,9.6,0.2,249,-9,4.4,21,-1
9087500,876,1957.6,-99,39.0550926,-94.5863024,17.2,0.4,254.7,-9,9.6,21,-1
9087500,876,1957.6,-98,39.0552805,-94.5862313,8.6,5.6,254.7,-14,9.4,25,5
9087500,876,1957.6,-98,39.056114,-94.5861397,7.5,8.4,254.7,-13,5.4,24,4
9087500,876,1957.6,-108,39.0565931,-94.5860509,8.6,3.1,254.7,-16,-3.4,20,-1
9087500,876,1957.6,-108,39.0566947,-94.5860293,7.5,1.8,254.7,-16,-4.8,20,-1
5120513,66611,2127.5,-114,39.0568252,-94.585991,8.6,1.9,253.2,-19,-5.2,20,5
5122562,66611,2127.5,-115,39.056778,-94.5860782,11.8,0.5,253.2,-14,-0.4,16,6
5122562,66611,2127.5,-113,39.0567868,-94.5861153,10.4,0.4,253.2,-16,-1.4,19,6
5122562,66611,2127.5,-113,39.0567829,-94.5861211,13.6,0.1,253.4,-16,-1.4,19,6
5122562,66611,2127.5,-115,39.0567579,-94.586146,14.4,0.3,253.2,-14,-1,16,-1
5122562,66611,2127.5,-115,39.056685,-94.5862261,11.8,0.3,253.2,-14,-0.2,16,-1
5122562,66611,2127.5,-111,39.0566978,-94.5862624,9.6,0.5,253.2,-12,2.4,17,-1
5122562,66611,2127.5,-115,39.0567046,-94.586263,14.7,0.2,254.1,-15,0.6,17,6
5122562,66611,2127.5,-115,39.0567064,-94.586257,15.1,0.1,253.2,-15,0.2,17,6
5122562,66611,2127.5,-111,39.0567147,-94.5862313,10.7,0.4,253.2,-16,0.2,19,-1
5122562,66611,2127.5,-111,39.0567147,-94.5862313,10.7,0.4,253.2,-16,0.2,19,-1
5122562,66611,2127.5,-111,39.0567261,-94.5862106,9.6,0.3,253.3,-16,-1.2,19,-1
5122562,66611,2127.5,-112,39.0567283,-94.5862074,29.8,0.1,253.2,-15,1.4,18,-1
5122562,66611,2127.5,-112,39.0567312,-94.5862035,28.5,0.1,253.3,-15,1.4,18,-1
5122562,66611,2127.5,-110,39.0567329,-94.5862023,8.6,0,253.2,-16,1.4,20,-1
5122562,66611,2127.5,-113,39.0567336,-94.586202,23.3,0,253.2,-16,-0.8,18,-1
5122562,66611,2127.5,-112,39.0567329,-94.5862031,8.6,0,253.2,-16,2.6,19,-1
5122562,66611,2127.5,-112,39.0567362,-94.5861945,8.6,0.1,254.1,-16,4,19,-1
5122562,66611,2127.5,-113,39.0567412,-94.5861854,28.5,0.1,253.2,-13,3,16,-1
5122562,66611,2127.5,-113,39.0567405,-94.5861801,25.2,0.1,253.1,-13,3,16,-1
5122562,66611,2127.5,-112,39.056742,-94.5861756,10.7,0.1,253.1,-15,3,18,-1
5122562,66611,2127.5,-112,39.0567376,-94.5861751,31.4,0.1,253.2,-15,-0.4,18,-1
5122562,66611,2127.5,-112,39.0567311,-94.5861809,26.8,0.1,253.3,-15,-0.4,18,-1
5122562,66611,2127.5,-112,39.0567625,-94.5861999,18.3,1.3,253.2,-15,2.2,18,-1
5122562,66611,2127.5,-111,39.0569085,-94.5862101,33.8,4.1,253.3,-16,1.4,18,-1
5122562,66611,2127.5,-113,39.0572445,-94.5860747,11.8,9,253.3,-15,3.6,17,-1
5122562,66611,2127.5,-113,39.0583874,-94.5860044,7.5,13,253.3,-15,-7.2,17,-1
5122562,66611,2127.5,-102,39.0596179,-94.5859247,9.1,14.2,253.3,-14,15.8,23,-1
5122562,66611,2127.5,-78,39.0604779,-94.5858649,22.2,14.8,247.3,-13,29.8,31,-1
5122562,66611,2127.5,-86,39.0617194,-94.585787,6.4,13.5,247.3,-13,26,30,3
5122562,66611,2127.5,-86,39.0629364,-94.5856963,7,12.2,247.3,-13,15.4,30,3
5122562,66611,2127.5,-92,39.063393,-94.5856763,6.4,7.6,247.3,-12,14.6,26,-1
5122562,66611,2127.5,-92,39.0636499,-94.5856611,7.5,3,247.3,-12,15.6,26,-1
5122562,66611,2127.5,-92,39.0637332,-94.5856694,10.7,2.6,257.3,-10,20.4,25,2
5122562,66611,2127.5,-94,39.0635964,-94.5856468,12.9,0.3,254.8,-13,19.4,27,2
5122562,66611,2127.5,-94,39.0635835,-94.5856331,12.9,0.5,254.8,-13,13.4,27,2
