signal,timerange,Temperature,DewPoint,Humidity,Wind,WindSpeed,WindGust,Pressure,Condition
-84,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-84,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-113,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-113,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-80,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-87,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-83,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-97,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-97,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-98,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-102,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-102,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-93,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-93,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-93,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-103,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
